lag_gvkey,lag_datadate,lag_fyear,lag_tic,lag_conm,lag_act,lag_capx,lag_cogs,lag_csho,lag_dp,lag_ebit,lag_lct,lag_ni,lag_sale,lag_txt,lag_wcapch
11259,01/31/2010,2009,WMT,WALMART INC,48331,12184,297500,3786,7157,22099,55561,14335,406103,7139,
11259,01/31/2011,2010,WMT,WALMART INC,51893,12699,307646,3516,7641,23709,58484,16389,420016,7579,
11259,01/31/2012,2011,WMT,WALMART INC,54975,13510,326997,3418,8130,24622,62300,15699,444948,7944,
11259,01/31/2013,2012,WMT,WALMART INC,59940,12898,343987,3314,8501,26027,71818,16999,467231,7981,
11259,01/31/2014,2013,WMT,WALMART INC,61185,13115,349199,3233,8870,25270,69345,16022,474259,8105,
11259,01/31/2015,2014,WMT,WALMART INC,63278,12174,355913,3228,9173,25439,65272,16363,483521,7985,
11259,01/31/2016,2015,WMT,WALMART INC,60239,11477,351530,3162,9454,22063,64619,14694,479962,6558,
11259,01/31/2017,2016,WMT,WALMART INC,57689,10619,351176,3048,10080,19514,66928,13643,482154,6204,
11259,01/31/2018,2017,WMT,WALMART INC,59664,10051,362867,2952,10529,18653,78521,9862,496785,4600,
11259,01/31/2019,2018,WMT,WALMART INC,61897,10344,374623,2878,10678,19471,77477,6670,511729,4281,
11259,01/31/2020,2019,WMT,WALMART INC,61806,10705,383618,2832.4929,10987,19152,77790,14881,521426,4915,
64768,12/31/2010,2010,AMZN,AMAZON.COM INC,13747,979,26009,451,657,1407,10372,1152,34204,352,
64768,12/31/2011,2011,AMZN,AMAZON.COM INC,17490,1811,36288,455,1149,867,14896,631,48077,291,
64768,12/31/2012,2012,AMZN,AMAZON.COM INC,21296,3785,44271,454,1863,672,19002,-39,61093,428,
64768,12/31/2013,2013,AMZN,AMAZON.COM INC,24625,3444,51681,459,2668,691,22980,274,74452,161,
64768,12/31/2014,2014,AMZN,AMAZON.COM INC,31327,4893,59152,465,3781,130,28089,-241,88988,167,
64768,12/31/2015,2015,AMZN,AMAZON.COM INC,36474,4589,66751,471,5128,2176,33899,596,107006,950,
64768,12/31/2016,2016,AMZN,AMAZON.COM INC,45781,6737,81865,477,6687,4066,43816,2371,135987,1425,
64768,12/31/2017,2017,AMZN,AMAZON.COM INC,60197,11955,103134,484,9166,3954,57883,3033,177866,769,
64768,12/31/2018,2018,AMZN,AMAZON.COM INC,75101,13427,127056,491,12575,12242,68391,10073,232887,1197,
64768,12/31/2019,2019,AMZN,AMAZON.COM INC,96334,16861,150436,498,15665,14177,87812,11588,280522,2374,
